timestamp_ns,sequence_number,symbol_id,event_type,side,price_ticks,quantity,order_id,trade_id,flags
1716950000000000000,1,1,Snapshot,None,0,0,0,0,1
1716950000000000000,2,1,Snapshot,Buy,6000000000000,100000000,1,0,0
1716950000000000000,3,1,Snapshot,Buy,5999900000000,200000000,2,0,0
1716950000000000000,4,1,Snapshot,Sell,6000100000000,150000000,3,0,0
1716950000000000000,5,1,Snapshot,Sell,6000200000000,250000000,4,0,0
1716950000000000000,6,1,Snapshot,None,0,0,0,0,2
1716950001000000000,7,1,Add,Buy,6000050000000,75000000,5,0,0
1716950002000000000,8,1,Replace,Buy,6000000000000,125000000,1,0,0
1716950002000000000,9,1,Cancel,Sell,6000100000000,0,3,0,0
1716950003000000000,10,1,Add,Sell,6000150000000,300000000,6,0,0
1716950004000000000,11,1,Cancel,Buy,6000050000000,0,5,0,0
