timestamp_ns,sequence_number,symbol_id,event_type,side,price_ticks,quantity,order_id,trade_id,flags
1780546352192403700,1,1,Snapshot,None,0,0,0,0,1
1780546352192403700,2,1,Snapshot,Buy,6458695000000,159122000,1,0,0
1780546352192403700,3,1,Snapshot,Buy,6458694000000,74000,2,0,0
1780546352192403700,4,1,Snapshot,Buy,6458663000000,18000,3,0,0
1780546352192403700,5,1,Snapshot,Buy,6458624000000,300000,4,0,0
1780546352192403700,6,1,Snapshot,Buy,6458602000000,8000,5,0,0
1780546352192403700,7,1,Snapshot,Buy,6458601000000,18000,6,0,0
1780546352192403700,8,1,Snapshot,Buy,6458600000000,1418000,7,0,0
1780546352192403700,9,1,Snapshot,Buy,6458597000000,9000,8,0,0
1780546352192403700,10,1,Snapshot,Buy,6458592000000,8000,9,0,0
1780546352192403700,11,1,Snapshot,Buy,6458590000000,18000,10,0,0
1780546352192403700,12,1,Snapshot,Sell,6458696000000,137037000,11,0,0
1780546352192403700,13,1,Snapshot,Sell,6458697000000,15376000,12,0,0
1780546352192403700,14,1,Snapshot,Sell,6458698000000,16000,13,0,0
1780546352192403700,15,1,Snapshot,Sell,6458751000000,18000,14,0,0
1780546352192403700,16,1,Snapshot,Sell,6458752000000,4089000,15,0,0
1780546352192403700,17,1,Snapshot,Sell,6458928000000,8000,16,0,0
1780546352192403700,18,1,Snapshot,Sell,6459016000000,18000,17,0,0
1780546352192403700,19,1,Snapshot,Sell,6459017000000,2322000,18,0,0
1780546352192403700,20,1,Snapshot,Sell,6459083000000,18000,19,0,0
1780546352192403700,21,1,Snapshot,Sell,6459084000000,12837000,20,0,0
1780546352192403700,22,1,Snapshot,None,0,0,0,0,2
1780546353047817700,23,1,Snapshot,None,0,0,0,0,1
1780546353047817700,24,1,Snapshot,Buy,6458695000000,112926000,21,0,0
1780546353047817700,25,1,Snapshot,Buy,6458694000000,90000,22,0,0
1780546353047817700,26,1,Snapshot,Buy,6458693000000,16000,23,0,0
1780546353047817700,27,1,Snapshot,Buy,6458601000000,18000,24,0,0
1780546353047817700,28,1,Snapshot,Buy,6458600000000,1418000,25,0,0
1780546353047817700,29,1,Snapshot,Buy,6458592000000,8000,26,0,0
1780546353047817700,30,1,Snapshot,Buy,6458591000000,9000,27,0,0
1780546353047817700,31,1,Snapshot,Buy,6458590000000,9000,28,0,0
1780546353047817700,32,1,Snapshot,Buy,6458589000000,18000,29,0,0
1780546353047817700,33,1,Snapshot,Buy,6458538000000,8000,30,0,0
1780546353047817700,34,1,Snapshot,Sell,6458696000000,189793000,31,0,0
1780546353047817700,35,1,Snapshot,Sell,6458697000000,17712000,32,0,0
1780546353047817700,36,1,Snapshot,Sell,6458698000000,16000,33,0,0
1780546353047817700,37,1,Snapshot,Sell,6458725000000,185000,34,0,0
1780546353047817700,38,1,Snapshot,Sell,6458801000000,18000,35,0,0
1780546353047817700,39,1,Snapshot,Sell,6458802000000,3025000,36,0,0
1780546353047817700,40,1,Snapshot,Sell,6458803000000,18000,37,0,0
1780546353047817700,41,1,Snapshot,Sell,6458804000000,4082000,38,0,0
1780546353047817700,42,1,Snapshot,Sell,6458826000000,1250000,39,0,0
1780546353047817700,43,1,Snapshot,Sell,6458883000000,18000,40,0,0
1780546353047817700,44,1,Snapshot,None,0,0,0,0,2
1780546353903712700,45,1,Snapshot,None,0,0,0,0,1
1780546353903712700,46,1,Snapshot,Buy,6458696000000,586994000,41,0,0
1780546353903712700,47,1,Snapshot,Buy,6458695000000,478000,42,0,0
1780546353903712700,48,1,Snapshot,Buy,6458694000000,16000,43,0,0
1780546353903712700,49,1,Snapshot,Buy,6458685000000,1690000,44,0,0
1780546353903712700,50,1,Snapshot,Buy,6458681000000,73321000,45,0,0
1780546353903712700,51,1,Snapshot,Buy,6458633000000,17883000,46,0,0
1780546353903712700,52,1,Snapshot,Buy,6458631000000,51167000,47,0,0
1780546353903712700,53,1,Snapshot,Buy,6458601000000,2317000,48,0,0
1780546353903712700,54,1,Snapshot,Buy,6458600000000,1577000,49,0,0
1780546353903712700,55,1,Snapshot,Buy,6458592000000,8000,50,0,0
1780546353903712700,56,1,Snapshot,Sell,6458697000000,25604000,51,0,0
1780546353903712700,57,1,Snapshot,Sell,6458698000000,25000,52,0,0
1780546353903712700,58,1,Snapshot,Sell,6458699000000,16000,53,0,0
1780546353903712700,59,1,Snapshot,Sell,6458923000000,8000,54,0,0
1780546353903712700,60,1,Snapshot,Sell,6458928000000,8000,55,0,0
1780546353903712700,61,1,Snapshot,Sell,6459019000000,23000,56,0,0
1780546353903712700,62,1,Snapshot,Sell,6459083000000,18000,57,0,0
1780546353903712700,63,1,Snapshot,Sell,6459084000000,5391000,58,0,0
1780546353903712700,64,1,Snapshot,Sell,6459085000000,12793000,59,0,0
1780546353903712700,65,1,Snapshot,Sell,6459253000000,18000,60,0,0
1780546353903712700,66,1,Snapshot,None,0,0,0,0,2
1780546354996871500,67,1,Snapshot,None,0,0,0,0,1
1780546354996871500,68,1,Snapshot,Buy,6458696000000,579631000,61,0,0
1780546354996871500,69,1,Snapshot,Buy,6458695000000,533000,62,0,0
1780546354996871500,70,1,Snapshot,Buy,6458694000000,16000,63,0,0
1780546354996871500,71,1,Snapshot,Buy,6458685000000,1690000,64,0,0
1780546354996871500,72,1,Snapshot,Buy,6458682000000,9000,65,0,0
1780546354996871500,73,1,Snapshot,Buy,6458681000000,53494000,66,0,0
1780546354996871500,74,1,Snapshot,Buy,6458631000000,51167000,67,0,0
1780546354996871500,75,1,Snapshot,Buy,6458602000000,8000,68,0,0
1780546354996871500,76,1,Snapshot,Buy,6458601000000,2470000,69,0,0
1780546354996871500,77,1,Snapshot,Buy,6458600000000,1487000,70,0,0
1780546354996871500,78,1,Snapshot,Sell,6458697000000,36322000,71,0,0
1780546354996871500,79,1,Snapshot,Sell,6458698000000,49000,72,0,0
1780546354996871500,80,1,Snapshot,Sell,6458699000000,16000,73,0,0
